Player,School,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
Nick fitzgerald,Mississippi State,44,511,942,54.2,6207,6.6,6.3,55,30,122.5
Will grier,Overall,28,621,945,65.7,8556,9.1,9.7,81,23,165.2
Dwayne haskins,Ohio State,22,413,590,70,5396,9.1,10.3,54,9,174
Tyree jackson,Buffalo,32,533,955,55.8,6999,7.3,7.2,49,24,129.3
Drew lock,Missouri,50,883,1553,56.9,12193,7.9,8,99,39,138.8
Trace mcsorley,Penn State,46,720,1215,59.3,9899,8.1,8.5,77,25,144.5
Gardner minshew,Overall,30,761,1168,65.2,8266,7.1,7.4,62,20,138.7
Kyler murray,Overall,29,350,519,67.4,5406,10.4,11.1,50,14,181.3
Brett rypien,Boise State,50,1035,1617,64,13578,8.4,8.7,90,29,149.3
Kyle shurmur,Vanderbilt,44,722,1264,57.1,8865,7,7,64,29,128.2
Jarrett stidham,Overall,37,545,848,64.3,7217,8.5,9,48,13,151.4
Jordan taamu,Ole Miss,19,381,591,64.5,5600,9.5,9.6,30,12,156.8
Clayton thorson,Northwestern,53,991,1696,58.4,10731,6.3,5.9,61,45,118.1
