Ht_cm,Wt_kg,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,y
185.0,98.1,4.94,29.5,,104.0,7.17,4.45,39.0,1052.0,1579.0,66.6,11991.0,7.6,7.8,86.0,30.0,144.6,0
187.5,100.35,4.68,24.5,18.0,109.0,,,35.0,483.0,803.0,60.1,5616.0,7.0,6.2,31.0,28.0,124.7,0
180.0,101.25,4.71,33.0,,113.0,6.97,4.08,48.0,490.0,833.0,58.8,6508.0,7.8,7.3,48.0,31.0,136.0,0
180.0,102.15,4.85,29.5,,102.0,7.55,4.38,37.0,259.0,544.0,47.6,4642.0,8.5,8.3,33.0,18.0,132.7,0
187.5,100.35,4.95,,,,,,45.0,775.0,1270.0,61.0,9707.0,7.6,7.7,75.0,31.0,139.8,0
190.0,108.9,5.12,27.0,,108.0,7.93,4.65,36.0,1086.0,1566.0,69.3,11846.0,7.6,7.5,85.0,41.0,145.6,0
187.5,101.25,4.86,30.0,19.0,105.0,7.43,4.49,31.0,518.0,815.0,63.6,5762.0,7.1,7.0,42.0,20.0,135.0,0
185.0,95.4,4.78,30.5,,112.0,6.98,4.28,34.0,545.0,854.0,63.8,6417.0,7.5,7.9,45.0,13.0,141.3,0
182.5,98.55,4.75,29.5,,105.0,7.53,4.59,45.0,665.0,1175.0,56.6,7924.0,6.7,6.4,47.0,30.0,121.3,0
177.5,90.0,4.83,29.5,,114.0,6.82,4.2,,,,,,,,,,,0
185.0,97.2,4.96,,,,,,26.0,74.0,166.0,44.6,990.0,6.0,6.0,9.0,4.0,107.7,0
182.5,98.55,4.75,29.5,,105.0,7.53,4.59,45.0,665.0,1175.0,56.6,7924.0,6.7,6.4,47.0,30.0,121.3,0
180.0,103.95,5.03,26.5,,100.0,7.47,4.62,46.0,540.0,923.0,58.5,5789.0,6.3,5.9,38.0,24.0,119.6,0
185.0,94.95,5.16,28.5,,103.0,7.59,4.42,31.0,443.0,844.0,52.5,5273.0,6.2,5.0,21.0,32.0,105.6,0
180.0,88.65,4.82,27.0,,99.0,7.41,4.56,53.0,1157.0,1658.0,69.8,14667.0,8.8,9.8,142.0,28.0,169.0,0
190.0,105.75,5.22,26.0,,99.0,7.4,4.59,30.0,313.0,534.0,58.6,3912.0,7.3,6.4,26.0,23.0,127.6,0
185.0,93.15,5.08,27.0,,104.0,7.29,4.6,39.0,534.0,934.0,57.2,7227.0,7.7,7.7,47.0,22.0,134.1,0
185.0,98.1,4.94,29.5,,104.0,7.17,4.45,39.0,1052.0,1579.0,66.6,11991.0,7.6,7.8,86.0,30.0,144.6,0
190.0,100.35,5.26,25.5,,105.0,7.14,4.36,,,,,,,,,,,0
190.0,103.05,5.0,29.0,,103.0,7.41,4.52,47.0,880.0,1556.0,56.6,11453.0,7.4,7.0,78.0,48.0,128.8,0
187.5,104.4,5.08,27.0,,105.0,7.32,4.45,43.0,887.0,1412.0,62.8,9746.0,6.9,6.6,60.0,35.0,129.9,0
182.5,94.5,4.67,32.5,,112.0,6.83,4.12,,,,,,,,,,,0
