,0
Levi Brown,"<div class=""media-item""><img alt=""Photo of Levi Brown"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/BrowLe01_2016.jpg""/>
</div>"
Jarrett Brown,
Sean Canfield,
Daryll Clark,"<div class=""media-item""><img alt=""Photo of Darion Clark"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/ClarDa01_2020.jpg""/>
</div>"
Jimmy Clausen,
Max Hall,
Tim Hiller,
Mike Kafka,
Dan LeFevour,
Thaddeus Lewis,"<div class=""media-item""><img alt=""Photo of Thaddeus Lewis"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/LewiTh01_2019.jpg""/>
</div>"
Colt McCoy,
Tony Pike,
Zac Robinson,
John Skelton,
Riley Skinner,
Jevan Snead,
Tim Tebow,
Jeff Van Camp,
Ryan Colburn,
Andy Dalton,
Pat Devlin,
Nathan Enderle,
Blaine Gabbert,
Jerrod Johnson,
Colin Kaepernick,
Jake Locker,
Ryan Mallett,
Greg McElroy,
Cam Newton,
Christian Ponder,
Josh Portis,
Ricky Stanzi,
Tyrod Taylor,
Scott Tolzien,
T.J. Yates,
B.J. Coleman,
Aaron Corp,
Kirk Cousins,
Austin Davis,
Nick Foles,
Robert Griffin,"<div class=""media-item""><img alt=""Photo of Robert Griffin"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/GrifRo01_2020.jpg""/>
</div>"
Chandler Harnish,
Jacory Harris,
Jordan Jefferson,
Case Keenum,
Ryan Lindley,
Andrew Luck,
Kellen Moore,
Brock Osweiler,
Ryan Tannehill,
Darron Thomas,
Brandon Weeden,
Russell Wilson,
Patrick Witt,
Matt Barkley,
Tyler Bray,
Colby Cameron,
Zac Dysert,
Mike Glennon,
MarQueis Gray,
Landry Jones,
Collin Klein,
E.J. Manuel,
Ryan Nassib,
Sean Renfree,
Matt Scott,"<div class=""media-item""><img alt=""Photo of Matt Scott"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/ScotMa01_2019.jpg""/>
</div>"
Geno Smith,
Brad Sorensen,
James Vandenberg,
Tyler Wilson,
Blake Bortles,
Tajh Boyd,
Teddy Bridgewater,
Derek Carr,"<div class=""media-item""><img alt=""Photo of Deveron Carr"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/CarrDe01_2019.jpg""/>
</div>"
David Fales,
Jimmy Garoppolo,
Jordan Lynch,"<div class=""media-item""><img alt=""Photo of Jordan Lynch"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/LyncJo01_2019.jpg""/>
</div>"
Johnny Manziel,
Jeff Mathews,
A.J. McCarron,
Zach Mettenberger,
Stephen Morris,
Aaron Murray,
Bryn Renner,"<div class=""media-item""><img alt=""Photo of Bryn Renner"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/RennBr01_2019.jpg""/>
</div>"
Tom Savage,
Connor Shaw,
Logan Thomas,
Dustin Vaughan,
Keith Wenning,
Bryan Bennett,
Anthony Boone,
Brandon Bridge,
Shane Carden,
Cody Fajardo,
Garrett Grayson,
Connor Halliday,
Brett Hundley,
Jerry Lovelocke,
Sean Mannion,
Marcus Mariota,"<div class=""media-item""><img alt=""Photo of Marcus Mariota"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/MariMa01_2020.jpg""/>
</div>"
Bryce Petty,"<div class=""media-item""><img alt=""Photo of Bryce Petty"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/PettBr01_2018.jpg""/>
</div>"
Blake Sims,"<div class=""media-item""><img alt=""Photo of Blake Sims"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/SimsBl01_2017.jpg""/>
</div>"
Jameis Winston,
Vernon Adams,
Brandon Allen,"<div class=""media-item""><img alt=""Photo of Brian Allen"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/AlleBr01_2019.jpg""/>
</div>"
Trevone Boykin,
Jacoby Brissett,
Connor Cook,
Brandon Doughty,
Jeff Driskel,
Jared Goff,
Christian Hackenberg,"<div class=""media-item""><img alt=""Photo of Christian Hackenberg"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/HackCh01_2017.jpg""/>
</div>"
Kevin Hogan,
Cardale Jones,"<div class=""media-item""><img alt=""Photo of Cardale Jones"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/JoneCa01_2019.jpg""/>
</div>"
Cody Kessler,
Paxton Lynch,
Dak Prescott,"<div class=""media-item""><img alt=""Photo of Dak Prescott"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/PresDa01_2020.jpg""/>
</div>"
Joel Stave,"<div class=""media-item""><img alt=""Photo of Joel Stave"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/StavJo01_2017.jpg""/>
</div>"
Nate Sudfeld,
Carson Wentz,
Josh Woodrum,"<div class=""media-item""><img alt=""Photo of Josh Woodrum"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/WoodJo01_2019.jpg""/>
</div>"
C.J. Beathard,
Joshua Dobbs,
Jerod Evans,
Brad Kaaya,
DeShone Kizer,
Trevor Knight,
Mitch Leidner,
Sefo Liufau,
Patrick Mahomes,
Nathan Peterman,
Cooper Rush,
Seth Russell,
Mitchell Trubisky,
Deshaun Watson,
Davis Webb,
Austin Allen,
Josh Allen,"<div class=""media-item""><img alt=""Photo of Jonathan Allen"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/AlleJo01_2020.jpg""/>
</div>"
J.T. Barrett,
Kurt Benkert,"<div class=""media-item""><img alt=""Photo of Kurt Benkert"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/BenkKu01_2020.jpg""/>
</div>"
Sam Darnold,
Danny Etling,
Luke Falk,
Riley Ferguson,
Quinton Flowers,
Lamar Jackson,
Kyle Lauletta,
Tanner Lee,
Chase Litton,"<div class=""media-item""><img alt=""Photo of Chase Litton"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/LittCh01_2019.jpg""/>
</div>"
Baker Mayfield,
Josh Rosen,"<div class=""media-item""><img alt=""Photo of Josh Rosen"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/RoseJo01_2018.jpg""/>
</div>"
Mason Rudolph,
Nic Shimonek,
Mike White,"<div class=""media-item""><img alt=""Photo of Mike White"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/WhitMi01_2019.jpg""/>
</div>"
Logan Woodside,
Jake Browning,
Ryan Finley,
Nick Fitzgerald,
Will Grier,
Dwayne Haskins,
Tyree Jackson,
Daniel Jones,
Drew Lock,
Trace McSorley,
Gardner Minshew,
Kyler Murray,
Brett Rypien,
Kyle Shurmur,
Easton Stick,
Jarrett Stidham,
Jordan Ta'amu,
Clayton Thorson,
